label,scenario,rep,http_status,incomplete,first_skill,skills_loaded,tool_calls,api_calls,input_tokens,cache_read_tokens,output_tokens,wall_seconds
stock-shipped,control-capabilities,1,200,False,,,,1,0,28354,747,10.88
stock-shipped,control-capabilities,2,200,False,,,,1,0,28354,1218,11.16
stock-shipped,control-capabilities,3,200,False,,,,1,0,28354,897,8.88
stock-shipped,control-list-nodes,1,200,False,,,terminal,2,381,56708,1057,15.24
stock-shipped,control-list-nodes,2,200,False,,,terminal,2,180,56708,829,13.76
stock-shipped,control-list-nodes,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,7690,283324,1064,44.34
stock-shipped,crashloop,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal,9,2629,281614,2699,87.45
stock-shipped,crashloop,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,4941,283346,2081,53.04
stock-shipped,crashloop,3,200,False,,,terminal terminal terminal terminal terminal terminal,7,4913,198365,2311,40.6
stock-shipped,cut-the-bill,1,200,False,gke-cost-analysis,gke-cost-analysis gke-cost-optimization,skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,73054,312851,1045,79.75
stock-shipped,cut-the-bill,2,200,False,gke-cost-optimization,gke-cost-optimization,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,81557,283301,689,141.27
stock-shipped,cut-the-bill,3,200,False,gke-cost-optimization,gke-cost-optimization,skill_view terminal terminal terminal terminal terminal terminal terminal terminal kanban_complete,10,39902,283332,1915,84.24
stock-shipped,daily-backups,1,200,False,gke-backup-dr,gke-backup-dr,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,17902,312898,791,77.21
stock-shipped,daily-backups,2,200,False,gke-backup-dr,gke-backup-dr submit-suggestion,terminal skill_view terminal terminal terminal terminal terminal terminal skill_view terminal terminal,10,19544,283309,3775,75.4
stock-shipped,daily-backups,3,200,False,gke-backup-dr,gke-backup-dr submit-suggestion,terminal skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,55792,283309,1180,118.76
stock-shipped,fleet-behind-channel,1,200,False,fleet-upgrade-verification,fleet-upgrade-verification,terminal skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,132751,312884,1161,102.29
stock-shipped,fleet-behind-channel,2,200,False,fleet-upgrade-verification,fleet-upgrade-verification,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,124088,283334,918,100.8
stock-shipped,fleet-behind-channel,3,200,False,,,terminal terminal terminal terminal terminal terminal,7,1422,198353,1704,36.35
stock-shipped,gitops-pr,1,200,False,submit-suggestion,submit-suggestion,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,45694,312902,765,66.79
stock-shipped,gitops-pr,2,200,False,submit-suggestion,submit-suggestion,terminal skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,72078,283311,860,131.79
stock-shipped,gitops-pr,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,16830,283352,1007,47.4
stock-shipped,harden-cluster,1,200,False,gke-platform-security,gke-platform-security,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal kanban_block,10,34971,312860,1175,77.55
stock-shipped,harden-cluster,2,200,False,gke-platform-security,gke-platform-security,terminal skill_view terminal terminal tool_search tool_describe tool_search tool_describe tool_describe tool_describe terminal terminal terminal,10,35792,283310,2556,86.9
stock-shipped,harden-cluster,3,200,False,gke-platform-security,gke-platform-security,terminal terminal tool_search skill_view terminal terminal terminal terminal terminal terminal,10,27015,283350,2402,88.65
stock-shipped,hpa,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,8141,312908,1231,84.02
stock-shipped,hpa,2,200,False,,,terminal terminal terminal,4,633,113396,1763,25.92
stock-shipped,hpa,3,200,False,submit-suggestion,submit-suggestion,terminal terminal terminal terminal terminal skill_view terminal terminal terminal terminal,10,92964,283358,995,204.89
stock-shipped,https-gateway,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,79339,312896,1123,62.15
stock-shipped,https-gateway,2,200,False,gke-service-networking,gke-service-networking submit-suggestion,skill_view terminal terminal terminal skill_view terminal terminal terminal terminal terminal,10,38293,283346,608,86.16
stock-shipped,https-gateway,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,2151,283346,1581,55.96
stock-shipped,inspect-repo,1,200,False,inspect-repository,inspect-repository,skill_view terminal terminal terminal terminal terminal kanban_complete,8,37172,250336,1260,74.52
stock-shipped,inspect-repo,2,200,False,inspect-repository,inspect-repository,terminal terminal terminal terminal skill_view terminal terminal terminal,9,18977,255023,2112,500.69
stock-shipped,inspect-repo,3,200,False,inspect-repository,inspect-repository,terminal skill_view terminal terminal terminal terminal terminal terminal,9,22013,255023,1561,53.01
stock-shipped,manifest-go-api,1,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal,4,14152,125244,2408,40.4
stock-shipped,manifest-go-api,2,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal terminal terminal write_file terminal terminal terminal terminal,10,47725,283386,1500,66.91
stock-shipped,manifest-go-api,3,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal terminal terminal terminal,7,28903,198405,2393,44.83
stock-shipped,namespace-cost,1,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal terminal terminal kanban_complete terminal terminal,10,28156,312892,1432,72.25
stock-shipped,namespace-cost,2,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,28471,283342,1020,53.11
stock-shipped,namespace-cost,3,200,False,gke-cost-analysis,gke-cost-analysis,terminal skill_view terminal terminal terminal,5,10609,141671,1086,29.35
stock-shipped,nodepool-no-scaleup,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,4664,312908,1385,115.7
stock-shipped,nodepool-no-scaleup,2,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,12575,283358,1713,66.55
stock-shipped,nodepool-no-scaleup,3,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,24853,283358,1337,62.36
stock-shipped,pdb-probes,1,200,False,,,list_agents terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,13540,312892,1050,68.16
stock-shipped,pdb-probes,2,200,False,,,terminal terminal terminal terminal tool_search tool_describe tool_call,8,7397,226688,3349,87.34
stock-shipped,pdb-probes,3,200,False,gke-reliability,gke-reliability,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,30982,283342,1314,51.42
stock-shipped,pod-403-gcs,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,15867,312914,2036,81.1
