label,scenario,rep,http_status,incomplete,first_skill,skills_loaded,tool_calls,api_calls,input_tokens,cache_read_tokens,output_tokens,wall_seconds
stock-shipped,control-capabilities,1,200,False,,,,1,2,29859,1205,7.43
stock-shipped,control-capabilities,2,200,False,,,,0,0,0,0,22.92
stock-shipped,control-capabilities,3,200,False,,,,1,2,29859,1150,9.24
stock-shipped,control-list-nodes,1,200,False,,,terminal,2,195,59718,1443,9.71
stock-shipped,control-list-nodes,2,200,False,,,terminal,2,195,59718,1182,11.17
stock-shipped,control-list-nodes,3,200,False,,,terminal,2,195,59718,1154,10.31
stock-shipped,crashloop,1,200,False,gke-workload-troubleshooting,gke-workload-troubleshooting,skill_view terminal terminal terminal terminal terminal terminal terminal terminal,9,26959,268564,1165,77.53
stock-shipped,crashloop,2,200,False,gke-workload-troubleshooting,gke-workload-troubleshooting,skill_view terminal terminal terminal terminal search_files terminal terminal terminal terminal,10,44671,298396,1490,53.41
stock-shipped,crashloop,3,200,False,gke-workload-troubleshooting,gke-workload-troubleshooting,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,39763,298396,1593,34.26
stock-shipped,cut-the-bill,1,200,False,gke-cost-optimization,gke-cost-optimization,tool_search skill_view terminal terminal terminal terminal terminal,7,22998,208886,1779,55.99
stock-shipped,cut-the-bill,2,200,False,,,,0,0,0,0,22.44
stock-shipped,cut-the-bill,3,200,False,gke-cost-analysis,gke-cost-analysis gke-cost-optimization,skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,61888,298351,1483,37.72
stock-shipped,daily-backups,1,200,False,gke-backup-dr,gke-backup-dr,skill_view terminal terminal terminal terminal terminal terminal,7,10615,208902,1339,47.51
stock-shipped,daily-backups,2,200,False,,,,0,0,0,0,23.8
stock-shipped,daily-backups,3,200,False,gke-backup-dr,gke-backup-dr,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,22370,298398,1739,51.46
stock-shipped,fleet-behind-channel,1,200,False,fleet-upgrade-verification,fleet-upgrade-verification,skill_view terminal terminal terminal terminal terminal terminal,7,40155,208888,1647,60.31
stock-shipped,fleet-behind-channel,2,200,False,,,,0,0,0,0,25.39
stock-shipped,fleet-behind-channel,3,200,False,,,,0,0,0,0,23.78
stock-shipped,gitops-pr,1,200,False,submit-suggestion,submit-suggestion,skill_view terminal search_files terminal terminal terminal terminal terminal terminal terminal,10,51742,298402,1559,35.12
stock-shipped,gitops-pr,2,200,False,submit-suggestion,submit-suggestion,terminal skill_view search_files search_files search_files terminal terminal,7,25663,208906,1509,55.88
stock-shipped,gitops-pr,3,200,False,submit-suggestion,submit-suggestion,terminal tool_search search_files terminal terminal terminal skill_view terminal search_files terminal,10,29652,298402,2810,61.32
stock-shipped,harden-cluster,1,200,False,,,terminal terminal terminal terminal terminal terminal terminal terminal,8,14188,238736,2234,70.89
stock-shipped,harden-cluster,2,200,False,gke-platform-security,gke-platform-security,skill_view terminal terminal terminal terminal terminal terminal terminal,8,26650,238736,2545,59.45
stock-shipped,harden-cluster,3,200,False,gke-platform-security,gke-platform-security,skill_view execute_code terminal terminal terminal tool_search tool_describe terminal,8,58487,238736,2345,110.49
stock-shipped,hpa,1,200,False,gke-workload-scaling,gke-workload-scaling,execute_code execute_code terminal skill_view terminal,5,3208,149248,1986,78.25
stock-shipped,hpa,2,200,False,gke-workload-scaling,gke-workload-scaling,terminal skill_view terminal terminal terminal terminal terminal terminal terminal,9,27450,268576,3060,75.71
stock-shipped,hpa,3,200,False,gke-workload-scaling,gke-workload-scaling,skill_view terminal terminal terminal terminal terminal terminal terminal,8,19344,238744,1877,49.5
stock-shipped,https-gateway,1,200,False,gke-service-networking,gke-service-networking,skill_view terminal terminal terminal terminal terminal terminal search_files terminal,9,23633,268564,1277,55.75
stock-shipped,https-gateway,2,200,False,gke-service-networking,gke-service-networking,terminal skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,35123,298396,991,34.05
stock-shipped,https-gateway,3,200,False,gke-service-networking,gke-service-networking,skill_view search_files terminal terminal terminal terminal tool_search,7,18292,208900,1602,54.59
stock-shipped,inspect-repo,1,200,False,,,search_files search_files search_files search_files,5,11516,149240,2046,16.32
stock-shipped,inspect-repo,2,200,False,,,search_files search_files search_files search_files execute_code search_files search_files,7,12979,208904,1134,54.19
stock-shipped,inspect-repo,3,200,False,,,search_files search_files search_files search_files search_files,6,12296,179072,2502,32.74
stock-shipped,manifest-go-api,1,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,terminal skill_view skill_view terminal tool_search tool_call write_file,8,39186,238772,6643,94.63
stock-shipped,manifest-go-api,2,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view write_file terminal,5,19442,149276,5409,39.76
stock-shipped,manifest-go-api,3,200,False,gke-manifest-generation,gke-manifest-generation gke-manifest-generation,skill_view skill_view terminal terminal search_files read_file search_files search_files terminal,9,43973,268604,3704,64.81
stock-shipped,namespace-cost,1,200,False,gke-cost-analysis,gke-cost-analysis,skill_view terminal terminal search_files terminal terminal terminal terminal,8,29089,238728,958,78.16
stock-shipped,namespace-cost,2,200,False,,,,0,0,0,0,26.11
stock-shipped,namespace-cost,3,200,False,,,,0,0,0,0,22.77
stock-shipped,nodepool-no-scaleup,1,200,False,gke-cluster-autoscaler,gke-cluster-autoscaler,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,49355,298408,1273,61.33
stock-shipped,nodepool-no-scaleup,2,200,False,gke-cluster-autoscaler,gke-cluster-autoscaler,skill_view terminal terminal terminal terminal terminal terminal terminal,8,27026,238744,955,51.75
stock-shipped,nodepool-no-scaleup,3,200,False,gke-cluster-autoscaler,gke-cluster-autoscaler,skill_view terminal terminal terminal,4,10564,119416,1096,39.55
stock-shipped,pdb-probes,1,200,False,gke-reliability,gke-reliability,skill_view terminal terminal terminal terminal terminal search_files read_file,8,30520,238728,1243,56.53
stock-shipped,pdb-probes,2,200,False,,,terminal terminal terminal terminal search_files search_files read_file terminal terminal terminal,10,27513,298392,925,32.77
stock-shipped,pdb-probes,3,200,False,gke-reliability,gke-reliability,skill_view terminal terminal terminal terminal terminal terminal terminal search_files terminal,10,45322,298392,918,42.82
stock-shipped,pod-403-gcs,1,200,False,,,terminal search_files terminal terminal terminal terminal terminal terminal,8,12530,238750,1314,71.56
stock-shipped,pod-403-gcs,2,200,False,,,terminal search_files search_files terminal terminal terminal terminal terminal,8,20156,238750,2436,58.72
stock-shipped,pod-403-gcs,3,200,False,,,terminal terminal terminal terminal terminal search_files search_files terminal terminal terminal,10,18873,298414,1436,49.51
stock-shipped,pod-ip-exhaustion,1,200,False,gke-networking,gke-networking,skill_view terminal terminal tool_search tool_describe tool_search tool_describe tool_call terminal,9,29207,268572,1510,54.39
stock-shipped,pod-ip-exhaustion,2,200,False,gke-networking,gke-networking,skill_view tool_search tool_call tool_call tool_call,5,14468,149244,837,58.58
stock-shipped,pod-ip-exhaustion,3,200,False,,,tool_search terminal terminal tool_call tool_call,5,3769,149244,2007,55.36
stock-shipped,prometheus-alerts,1,200,False,gke-observability,gke-observability,terminal skill_view search_files terminal terminal terminal terminal search_files read_file search_files,10,31992,298392,1455,37.41
stock-shipped,prometheus-alerts,2,200,False,gke-observability,gke-observability,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,36431,298392,1590,37.0
stock-shipped,prometheus-alerts,3,200,False,gke-observability,gke-observability,skill_view tool_search terminal terminal terminal terminal,6,16284,179064,2215,69.87
stock-shipped,pvc-pending,1,200,False,gke-storage,gke-storage,skill_view tool_describe terminal terminal terminal tool_call terminal terminal,8,19400,238762,2408,76.16
stock-shipped,pvc-pending,2,200,False,gke-storage,gke-storage,skill_view,1,2,29885,870,30.22
stock-shipped,pvc-pending,3,200,False,gke-storage,gke-storage,skill_view terminal terminal terminal terminal terminal terminal terminal,8,15077,238762,2310,51.96
stock-shipped,tpu-vbar,1,200,False,,,,0,0,0,0,25.86
stock-shipped,tpu-vbar,2,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom gke-ai-troubleshooting-tpu-vbar-oom,skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,40507,298400,1009,59.71
stock-shipped,tpu-vbar,3,200,False,gke-ai-troubleshooting-tpu-vbar-oom,gke-ai-troubleshooting-tpu-vbar-oom gke-ai-troubleshooting-tpu-vbar-oom,skill_view skill_view terminal terminal terminal terminal terminal terminal terminal terminal,10,28064,298400,1321,46.71
stock-shipped,upgrade-plan,1,200,False,gke-upgrades,gke-upgrades gke-upgrades gke-upgrades,skill_view skill_view skill_view terminal terminal terminal terminal,7,44797,208910,1472,53.72
stock-shipped,upgrade-plan,2,200,False,gke-upgrades,gke-upgrades,skill_view terminal terminal terminal terminal terminal,6,30218,179078,2233,52.38
stock-shipped,upgrade-plan,3,200,False,,,,0,0,0,0,22.3
stock-shipped,vllm-l4,1,200,False,gke-inference,gke-inference,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,43666,298402,2863,85.59
stock-shipped,vllm-l4,2,200,False,gke-inference,gke-inference,todo terminal terminal search_files terminal terminal skill_view read_file terminal,9,18902,268570,1482,74.72
stock-shipped,vllm-l4,3,200,False,gke-inference,gke-inference,skill_view terminal terminal terminal terminal,5,11447,149242,1594,52.69
fulldesc-shipped,control-capabilities,1,200,False,,,,1,2,32837,1140,10.74
fulldesc-shipped,control-capabilities,2,200,False,,,,1,2,32837,895,5.0
fulldesc-shipped,control-capabilities,3,200,False,,,,1,2,32837,1113,7.42
fulldesc-shipped,control-list-nodes,1,200,False,,,terminal,2,195,65674,1263,16.37
fulldesc-shipped,control-list-nodes,2,200,False,,,terminal,2,276,65674,1721,28.55
fulldesc-shipped,control-list-nodes,3,200,False,,,,0,0,0,0,24.28
fulldesc-shipped,crashloop,1,200,False,,,terminal terminal terminal terminal terminal terminal,6,7728,196936,1401,74.21
fulldesc-shipped,crashloop,2,200,False,gke-workload-troubleshooting,gke-workload-troubleshooting,skill_view terminal terminal terminal terminal terminal terminal terminal terminal terminal,10,29942,328176,993,42.72
